area,pmcid,doi,year,journal,title,U,E,EP,S,adjudicated,adjudicated_items,dual_coded,also_coded_in_areas
A3,PMC8434643,10.3390/s21175964,2021,"Sensors (Basel, Switzerland)",Plantar Pressure Detection System Based on Flexible Hydrogel Sensor Array and WT-RF.,0,0,0,0,no,,no,
A3,PMC8840666,10.3390/s22030759,2022,"Sensors (Basel, Switzerland)",Neural Network-Enabled Flexible Pressure and Temperature Sensor with Honeycomb-like Architecture for Voice Recognition.,0,0,0,0,no,,yes,
A3,PMC9028188,10.3390/s22082825,2022,"Sensors (Basel, Switzerland)",Detection of Human Gait Phases Using Textile Pressure Sensors: A Low Cost and Pervasive Approach.,1,0,0,0,no,,yes,
A3,PMC9313071,10.3390/bios12070506,2022,Biosensors,Full Soft Capacitive Omnidirectional Tactile Sensor Based on Micro-Spines Electrode and Hemispheric Dielectric Structure.,0,0,0,0,no,,no,
A3,PMC9755227,10.1038/s41598-022-24640-5,2022,Scientific reports,Texture recognition based on multi-sensory integration of proprioceptive and tactile signals.,0,0,0,0,no,,yes,
A4,PMC10070414,10.1038/s41598-023-31677-7,2023,Scientific reports,Machine learning unifies flexibility and efficiency of spinodal structure generation for stochastic biomaterial design.,0,0,0,1,no,,yes,A2
A4,PMC10250676,10.3389/fbioe.2023.1105377,2023,Frontiers in bioengineering and biotechnology,Computational approaches for evaluating morphological changes in the corneal stroma associated with decellularization.,0,0,0,0,no,,yes,A1
A4,PMC10265106,10.1002/advs.202300816,2023,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",3D-Printed Functional Hydrogel by DNA-Induced Biomineralization for Accelerated Diabetic Wound Healing.,3,0,0,1,no,,no,
A4,PMC10512832,10.3389/fbioe.2023.1241151,2023,Frontiers in bioengineering and biotechnology,Inverse design of anisotropic bone scaffold based on machine learning and regenerative genetic algorithm.,0,0,0,0,no,,yes,
A4,PMC10521712,10.34133/2022/9854084,2022,BME frontiers,Jointly Optimized Spatial Histogram UNET Architecture (JOSHUA) for Adipose Tissue Segmentation.,1,0,0,1,no,,no,A1
A4,PMC10733684,10.1016/j.mtbio.2023.100879,2024,Materials today. Bio,Non-neotissue constituents as underestimated confounders in the assessment of tissue engineered constructs by near-infrared spectroscopy.,1,0,0,1,no,,no,
A4,PMC11082644,10.1039/d4ra01257g,2024,RSC advances,Machine learning-guided morphological property prediction of 2D electrospun scaffolds: the effect of polymer chemical composition and processing parameters.,1,1,1,0,no,,no,
A4,PMC11085928,10.3390/polym16091187,2024,Polymers,Deep Learning for Cell Migration in Nonwoven Materials and Evaluating Gene Transfer Effects following AAV6-ND4 Transduction.,0,0,0,0,no,,no,
A4,PMC11117982,10.3390/bioengineering11050415,2024,"Bioengineering (Basel, Switzerland)",Investigating the Effect of Processing and Material Parameters of Alginate Dialdehyde-Gelatin (ADA-GEL)-Based Hydrogels on Stiffness by XGB Machine Learning Model.,0,0,0,0,no,,no,
A4,PMC11170757,10.1021/acsomega.4c01234,2024,ACS omega,Quantitative Evaluation of the Pore and Window Sizes of Tissue Engineering Scaffolds on Scanning Electron Microscope Images Using Deep Learning.,0,0,0,0,yes,EP,yes,A1
A4,PMC11468966,10.1002/adhm.202102508,2022,Advanced healthcare materials,Sublingual Boosting with a Novel Mucoadhesive Thermogelling Hydrogel Following Parenteral CAF01 Priming as a Strategy Against Chlamydia trachomatis.,0,0,1,0,no,,yes,
A4,PMC11556762,10.22038/ijbms.2024.78958.17077,2024,Iranian journal of basic medical sciences,Zinc oxide nanoparticle-reinforced sodium alginate/hydroxyapatite scaffolds for osteoporosis treatment in fragility fracture patients: Development and characterization using artificial neural networks (ANNs) modeling.,0,0,0,0,no,,yes,
